S.no,tld,LE,BL,DP,LP,CCP,IPP,ACR,WBY,TLDs Reg,TLDs Reg32,TLDs Free32,SG,CO,CPC,SDE,Traffic,Valuation,Bids
1181,com,10,1849,61,83,49,51,272,2005,2,2,30,10,39,0.12,0,0,2608,21
1182,com,11,5230,43,137,32,36,444,2011,3,3,29,0,0,0,0,5180,1478,1
1183,com,4,0,0,0,0,0,51,2002,4,3,29,0,0,0,0,0,0,2
1184,com,8,0,1,1,1,1,17,2011,2,3,29,4090000,6,0.6,2400,4,2131,1
1185,com,7,0,0,0,0,0,9,2011,1,1,31,0,0,0,0,4,1278,1
1186,com,6,56,5,9,4,4,81,2013,4,5,27,0,0,0,0,2,1156,1
1187,com,19,0,0,0,0,0,9,2015,1,1,31,0,0,0,0,176520,886,7
1188,net,16,658,1,244,1,1,150,2008,1,1,31,210,0,0,10,182,170,1
1189,com,12,0,0,0,0,0,2,2017,1,1,31,0,0,0,0,67,1095,1
1190,net,9,0,0,0,0,0,0,2017,4,3,29,0,0,0,0,65,81,1
1191,com,3,1,0,0,0,0,24,2000,15,8,24,0,0,0,0,0,0,1
1192,com,21,70,7,8,7,7,32,2006,1,1,31,0,0,0,0,0,470,1
1193,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1607,1
1194,com,23,393,17,98,15,15,98,2009,1,1,31,90,2,0,0,124,906,1
1195,com,12,0,0,0,0,0,1,2017,4,4,28,0,0,0,0,5,1707,1
1196,com,13,1793,93,179,87,87,479,1999,2,2,30,0,0,0,0,0,551,28
1197,com,9,0,0,0,0,0,11,2011,4,4,28,30,78,0.53,0,9,1591,2
1198,net,4,15501,59,780,56,56,268,1997,46,21,11,0,0,0,0,0,1323,24
1199,com,5,1,0,0,0,0,20,2014,5,1,31,0,0,0,0,9,898,3
1200,com,6,497,1,3,1,1,15,2013,1,1,31,0,0,0,0,4,0,3
1201,com,7,0,0,0,0,0,4,2016,1,1,31,0,0,0,0,2,0,2
1202,com,10,0,0,0,0,0,20,2003,9,8,24,320,8,0.42,50,11,3011,3
1203,com,5,0,0,0,0,0,1,2015,1,1,31,0,0,0,0,2,975,2
1204,com,5,0,0,0,0,0,25,2014,8,7,25,260,0,0.02,30,0,0,1
1205,com,10,1259,0,0,0,0,6,2009,1,1,31,260,24,0.01,10,0,0,3
1206,com,14,0,0,0,0,0,28,2007,2,2,30,1900,1,1.56,30,0,0,4
1207,com,9,0,0,0,0,0,21,2010,1,1,31,0,0,0,0,0,0,6
1208,com,18,0,0,0,0,0,9,2011,1,1,31,0,0,0,0,0,0,2
1209,com,7,0,0,0,0,0,22,2009,3,2,30,2900,3,0.11,30,0,0,1
1210,com,10,0,0,0,0,0,6,2000,1,1,31,590,13,0.8,20,0,0,1
1211,com,10,0,0,0,0,0,12,2009,2,2,30,673000,33,0.56,8100,0,0,3
1212,com,14,1,0,0,0,0,11,2017,1,1,31,0,0,0,0,684,123,2
1213,com,16,4,0,0,0,0,18,2010,2,2,30,49500,0,0.46,1000,0,0,1
1214,com,8,0,0,0,0,0,17,2011,1,1,31,0,0,0,0,0,0,2
1215,com,10,1,0,0,0,0,33,2005,6,5,27,480,4,0.58,10,0,0,1
1216,com,10,0,0,0,0,0,6,2016,13,12,20,40,14,0,0,2,5382,11
1217,com,10,4,1,1,1,1,8,2017,1,1,31,0,0,0,0,0,795,1
1218,com,15,0,0,0,0,0,16,2006,3,5,27,0,0,0,0,2,2160,1
1219,com,8,8,0,0,0,0,34,2014,1,1,31,0,0,0,0,70,1159,1
1220,com,9,2,2,3,2,3,42,2017,1,1,31,0,0,0,0,70,723,1
1221,com,7,2,0,0,0,0,1,2015,1,2,30,450000,8,0.05,14800,2,1458,1
1222,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,1,1696,1
1223,com,11,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,2,1126,1
1224,com,6,0,0,0,0,0,7,2013,2,2,30,0,0,0,0,2,798,23
1225,com,11,0,0,0,0,0,10,2005,2,2,30,40,0,0,0,9,1016,1
1226,com,5,0,0,0,0,0,1,2016,1,1,31,0,0,0,0,7,835,1
1227,com,5,10,5,6,4,4,47,2006,8,5,27,0,0,0,0,4,1044,33
1228,com,8,32,0,0,0,0,22,2015,2,1,31,0,0,0,0,119,1358,1
1229,com,16,89,3,4,4,4,76,2001,18,8,24,40,0,0,0,2,3584,13
1230,com,23,16,1,6,1,1,22,2011,1,1,31,0,0,0,0,30,159,1
1231,net,14,68,2,17,2,2,23,2013,3,2,30,0,0,0,0,4,476,1
1232,com,9,0,0,0,0,0,25,2006,5,5,27,50,0,2.84,0,0,2485,1
1233,com,13,0,0,0,0,0,2,2016,1,1,31,0,0,0,0,70,482,1
1234,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1614,1
1235,com,9,0,0,0,0,0,14,2017,2,2,30,0,0,0,0,33,769,2
1236,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,4,1542,1
1237,com,20,0,0,0,0,0,2,2017,1,1,31,0,0,0,0,65,72,1
1238,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1502,1
1239,com,8,0,0,0,0,0,1,2017,2,2,30,0,0,0,0,2,1549,1
1240,com,7,73015,292,3741,128,227,1249,2003,2,2,30,0,0,0,0,0,906,2
1241,com,8,812,1,1,1,1,14,2012,4,3,29,40,48,0.37,0,7,1788,1
1242,com,12,0,0,0,0,0,1,2017,4,4,28,0,0,0,0,10,1470,1
1243,com,13,40,5,8,5,5,262,1998,1,1,31,0,0,0,0,35,1018,4
1244,net,10,4,0,0,0,0,17,2008,4,3,29,1900,4,0.76,210,146,778,2
1245,com,12,0,0,0,0,0,1,2017,4,4,28,0,0,0,0,10,1546,1
1246,com,15,17,1,2,1,1,20,2017,1,1,31,0,0,0,0,0,803,1
1247,com,11,47481,42,323,36,36,514,2004,1,1,31,10,1,0,0,0,1179,3
1248,com,11,10,1,1,1,1,30,2010,1,1,31,0,0,0,0,7,699,1
1249,com,9,10,2,5,2,2,132,2010,2,2,30,0,0,0,0,4,1690,1
1250,com,11,0,0,0,0,0,5,2016,1,1,31,0,0,0,0,15,1034,2
1251,com,15,0,0,0,0,0,1,2015,1,1,31,0,0,0,0,0,872,1
1252,com,7,86,19,84,11,11,118,2011,6,6,26,0,0,0,0,15,1885,54
1253,org,11,7619,289,1458,237,265,145,2010,3,3,29,110,4,0,10,0,843,8
1254,com,6,0,0,0,0,0,6,2015,2,1,31,0,0,0,0,4,1191,1
1255,com,11,3,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,452,1
1256,com,12,0,0,0,0,0,1,2017,2,2,30,0,0,0,0,8,1480,1
1257,com,13,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,2,884,1
1258,com,12,599,26,60,26,26,69,2003,2,2,30,390,26,0.24,20,0,2365,23
1259,net,10,0,0,0,0,0,11,2014,46,22,10,22200,98,0.76,260,0,0,4
1260,com,4,90,6,9,5,5,188,1998,22,13,19,0,0,0,0,35,3386,31
1261,com,12,15,2,2,2,2,108,2014,1,1,31,0,0,0,0,67,1081,1
1262,com,6,5,0,0,0,0,40,2017,1,1,31,30,0,0,0,4,1175,1
1263,com,21,0,0,0,0,0,2,2017,1,1,31,0,0,0,0,0,807,1
1264,com,12,14757,79,562,67,73,273,2015,2,2,30,0,0,0,0,137,1370,1
1265,com,7,496,40,47,29,29,249,2003,2,2,30,0,0,0,0,41,1443,3
1266,com,8,0,0,0,0,0,8,2016,1,1,31,0,0,0,0,2,935,1
1267,com,6,0,0,0,0,0,1,2016,1,1,31,0,0,0,0,2,971,2
1268,com,12,0,0,0,0,0,10,2001,10,7,25,140,3,3.02,10,11,2778,7
1269,com,6,0,0,0,0,0,24,2016,3,3,29,0,0,0,0,0,0,1
1270,com,14,1,0,0,0,0,8,2016,1,1,31,0,0,0,0,0,0,1
1271,com,17,370,9,17,6,8,74,2006,1,1,31,10,0,0,0,0,783,1
1272,com,5,0,0,0,0,0,1,2016,1,1,31,0,0,0,0,4,860,1
1273,com,10,1617,29,160,27,27,96,2000,1,1,31,0,0,0,0,37,1214,1
1274,com,12,0,0,0,0,0,4,2016,1,1,31,390,3,0.01,10,11,1206,1
1275,com,8,147,3,5,7,3,208,1999,17,13,19,12100,0,0.13,390,0,0,14
1276,net,8,27913,2563,112810,163,151,488,1997,19,14,18,12100,0,0.13,390,0,0,6
1277,com,5,0,0,0,0,0,2,2008,8,7,25,0,0,0,0,0,2112,1
1278,net,18,8,0,0,0,0,43,2012,2,2,30,0,0,0,0,20,289,1
1279,com,15,2,0,0,0,0,4,2015,1,1,31,0,0,0,0,26,680,1
1280,org,8,5298,48,189,42,43,235,2003,5,4,28,8100,100,1.22,20,48,886,1
1281,com,18,1671,64,80,60,63,138,2009,1,1,31,10,0,0,0,41,497,5
1282,com,12,121,40,110,23,34,14,2009,2,2,30,0,0,0,0,2,969,1
1283,com,10,0,0,0,0,0,116,2001,53,26,6,33100,5,0.17,2900,0,14336,81
1284,com,24,30550,0,0,0,0,61,2010,1,1,31,10,83,0.84,0,21,613,1
1285,com,20,3,0,0,0,0,62,2003,4,4,28,210,4,4.71,10,7,2414,1
1286,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,3,1493,1
1287,com,5,0,0,0,0,0,32,2013,3,2,30,0,0,0,0,4,1263,1
1288,com,8,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,1,1594,1
1289,com,5,0,0,0,0,0,15,2013,2,2,30,0,0,0,0,0,1229,1
1290,com,15,71,4,6,4,4,40,2009,7,6,26,50,1,0,0,9,2671,1
1291,com,6,0,0,0,0,0,10,2017,2,2,30,49500,0,0.14,40,4,1193,1
1292,com,11,382,24,32,22,22,235,1997,6,6,26,170,6,0,10,0,3653,17
1293,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1553,1
1294,com,13,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,847,1
1295,com,6,0,0,0,0,0,9,2011,1,1,31,0,0,0,0,24,1264,1
1296,com,6,1730511,1,2,1,1,10,2013,2,1,31,0,0,0,0,9,708,1
1297,com,18,319,5,16,4,4,52,2007,1,1,31,0,0,0,0,48,608,2
1298,com,6,0,0,0,0,0,8,2016,3,3,29,0,0,0,0,13,1521,1
1299,com,13,83,0,0,0,0,16,2014,1,1,31,0,0,0,0,39,243,1
1300,net,14,18905,51,137,40,45,220,2010,5,4,28,3600,27,0.19,70,0,749,1
1301,com,14,0,0,0,0,0,31,2003,4,3,29,720,65,0.59,10,7,1677,1
1302,com,16,31,0,0,0,0,27,2017,1,1,31,0,0,0,0,0,808,10
1303,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,8,1448,1
1304,com,21,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,715,1
1305,com,7,0,0,0,0,0,1,2014,1,1,31,0,0,0,0,4,789,1
1306,com,11,0,0,0,0,0,16,2013,2,2,30,1900,3,0.87,20,2,1731,1
1307,com,7,0,0,0,0,0,5,2017,1,1,31,0,0,0,0,0,0,1
1308,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,4,1715,1
1309,com,14,0,0,0,0,0,19,2001,1,1,31,0,0,0,0,2,979,1
1310,com,12,0,0,0,0,0,12,2009,1,1,31,0,0,0,0,4,1300,1
1311,com,9,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,2,579,1
1312,com,7,0,0,0,0,0,1,2014,1,1,31,0,0,0,0,2,621,1
1313,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1510,1
1314,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,9,1359,1
1315,com,8,0,0,0,0,0,13,2006,2,2,30,40,0,0,0,0,0,1
1316,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1734,1
1317,com,8,2,0,0,0,0,27,2006,3,3,29,0,0,0,0,41,1768,1
1318,com,5,5,0,0,0,0,0,2016,3,2,30,0,0,0,0,4,1019,1
1319,com,5,1,0,0,0,0,11,2016,1,1,31,0,0,0,0,0,493,2
1320,com,12,0,0,0,0,0,1,2017,4,4,28,0,0,0,0,4,1107,1
1321,com,9,0,0,0,0,0,8,2007,1,1,31,70,3,0,0,9,1002,1
1322,com,4,3,0,0,0,0,35,2015,4,3,29,0,0,0,0,4,658,1
1323,com,8,0,0,0,0,0,9,2018,1,1,31,110,36,0.6,10,0,0,1
1324,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,14,1596,1
1325,com,18,44645,75,15254,71,74,80,2014,1,1,31,90,9,0.62,0,0,598,16
1326,com,8,0,0,0,0,0,1,2017,1,1,31,0,0,0,0,0,1679,1
1327,com,12,0,0,0,0,0,1,2017,4,4,28,0,0,0,0,11,1368,1
1328,org,16,1461,15,34,15,15,126,2002,1,1,31,40,20,0.47,0,0,502,1
1329,com,7,0,0,0,0,0,86,2017,1,1,31,0,0,0,0,786,1119,1
1330,com,5,35,0,0,0,0,15,2011,1,1,31,0,0,0,0,39,978,1
1331,com,9,3,1,1,1,1,42,2001,7,7,25,6600,71,0.84,30,24,3379,32
1332,com,20,0,0,0,0,0,19,1999,3,3,29,2900,5,1.64,50,0,0,6
1333,com,12,0,0,0,0,0,23,2006,7,4,28,70,7,0.42,0,0,0,3
1334,com,11,0,0,0,0,0,9,2009,2,2,30,0,0,0,0,6,0,3
1335,com,12,0,0,0,0,0,1,2017,3,3,29,0,0,0,0,7,1597,1
1336,org,14,10638,45,496,40,42,87,2011,2,2,30,0,0,0,0,0,470,1
1337,com,9,3,0,0,0,0,14,2016,1,1,31,0,0,0,0,106,788,2
1338,com,19,41,0,0,0,0,2,2017,1,1,31,0,0,0,0,7,776,1
1339,com,9,362,27,35,23,24,43,2014,2,2,30,0,0,0,0,0,1320,1
